,SupT1/FarRed+/p24+ SupT1 | Freq. of Parent (%),SupT1/FarRed+/Dead SupT1 | Freq. of Parent (%),MDDC/FarRed-/p24+ MDDC | Freq. of Parent (%),MDDC/FarRed-/Dead MDDC | Freq. of Parent (%),
siMDDC-SupT1_D7.fcs,40.0,22.8,21.7,10.8,
siMDDC-SupT1_D8.fcs,34.9,18.7,13.5,8.00,
siMDDC-SupT1_D9.fcs,32.1,17.0,14.1,9.52,
siMDDC-SupT1_D10.fcs,28.6,15.3,12.2,7.45,
siMDDC-SupT1_D11.fcs,22.9,11.4,3.15,4.05,
siMDDC-SupT1_E2.fcs,30.4,15.9,12.4,7.87,
siMDDC-SupT1_E3.fcs,32.2,17.6,10.3,7.96,
siMDDC-SupT1_E4.fcs,30.4,17.9,14.5,10.0,
siMDDC-SupT1_E5.fcs,30.7,17.1,10.7,6.10,
siMDDC-SupT1_E6.fcs,27.4,16.3,7.36,7.60,
siMDDC-SupT1_E7.fcs,25.4,14.1,11.7,5.29,
siMDDC-SupT1_E8.fcs,35.9,19.6,12.3,7.91,
siMDDC-SupT1_E9.fcs,25.8,14.2,10.0,4.58,
siMDDC-SupT1_E10.fcs,28.5,14.5,15.5,3.28,
siMDDC-SupT1_E11.fcs,30.7,14.8,10.8,3.13,
siMDDC-SupT1_F2.fcs,51.2,27.8,13.8,1.79,
siMDDC-SupT1_F3.fcs,47.0,25.8,14.3,4.68,
siMDDC-SupT1_F4.fcs,49.3,26.8,17.7,5.59,
siMDDC-SupT1_F5.fcs,54.6,31.8,19.7,4.68,
siMDDC-SupT1_F6.fcs,50.5,27.2,13.6,4.96,
siMDDC-SupT1_F7.fcs,47.7,27.1,15.7,5.83,
siMDDC-SupT1_F8.fcs,52.9,31.4,22.3,6.30,
siMDDC-SupT1_F9.fcs,44.8,24.6,14.1,3.59,
siMDDC-SupT1_F10.fcs,50.1,27.9,13.1,3.61,
siMDDC-SupT1_F11.fcs,49.7,25.3,16.1,4.55,
siMDDC-SupT1_G2.fcs,41.3,19.2,4.67,2.69,
siMDDC-SupT1_G3.fcs,50.3,24.3,12.3,2.78,
siMDDC-SupT1_G4.fcs,56.9,28.8,10.7,2.19,
siMDDC-SupT1_G5.fcs,50.9,23.5,13.7,3.77,
siMDDC-SupT1_G6.fcs,53.2,29.2,13.0,4.73,
siMDDC-SupT1_G7.fcs,53.4,25.9,7.96,2.34,
siMDDC-SupT1_G8.fcs,44.0,20.7,6.38,2.24,
siMDDC-SupT1_G9.fcs,46.4,22.1,6.29,2.23,
siMDDC-SupT1_G10.fcs,44.1,21.7,9.72,3.70,
siMDDC-SupT1_G11.fcs,39.2,19.0,3.85,2.05,
siMDDC-SupT1_H2.fcs,39.2,20.5,9.38,3.30,
siMDDC-SupT1_H3.fcs,26.8,13.4,6.83,3.81,
siMDDC-SupT1_H4.fcs,41.3,21.7,10.3,3.10,
siMDDC-SupT1_H5.fcs,44.1,22.1,17.1,4.31,
siMDDC-SupT1_H6.fcs,33.5,18.1,7.04,3.25,
siMDDC-SupT1_H7.fcs,45.8,23.1,14.9,4.50,
siMDDC-SupT1_H8.fcs,45.9,21.8,11.0,5.48,
siMDDC-SupT1_H9.fcs,45.1,22.1,16.6,4.85,
siMDDC-SupT1_H10.fcs,38.2,18.8,10.3,4.09,
Mean,41.6,22.0,13.3,5.79,
SD,14.6,9.21,7.46,3.11,
