,SupT1/FarRed+/p24+ SupT1 | Freq. of Parent (%),SupT1/FarRed+/Dead SupT1 | Freq. of Parent (%),MDDC/FarRed-/p24+ MDDC | Freq. of Parent (%),MDDC/FarRed-/Dead MDDC | Freq. of Parent (%),
Control_CD4+R9.fcs,96.6,69.6,0,0,
Control_F522Y.fcs,0.28,2.58,0.18,3.70,
Control_GAPDH.fcs,57.4,33.1,21.3,14.7,
Control_M.fcs,67.4,39.1,40.6,12.8,
Control_MDDC+R9.fcs,0,0,1.64,5.48,
Control_NI.fcs,0.16,2.40,0.19,3.11,
Control_NT.fcs,62.8,38.0,39.0,18.0,
Control_NT2.fcs,63.5,39.8,28.9,13.7,
Control_NT3.fcs,63.9,39.0,29.7,14.0,
Control_UT.fcs,19.8,8.23,2.20,2.20,
siMDDC-SupT1_A2.fcs,50.9,25.4,16.6,6.87,
siMDDC-SupT1_A3.fcs,59.0,26.9,17.9,4.10,
siMDDC-SupT1_A4.fcs,41.0,19.5,14.7,6.25,
siMDDC-SupT1_A5.fcs,38.6,19.6,4.49,6.64,
siMDDC-SupT1_A6.fcs,61.0,32.1,19.8,12.0,
siMDDC-SupT1_A7.fcs,45.8,22.7,10.8,5.52,
siMDDC-SupT1_A8.fcs,44.9,19.1,9.49,7.06,
siMDDC-SupT1_A9.fcs,39.1,18.7,6.64,9.29,
siMDDC-SupT1_A10.fcs,26.5,12.9,7.71,7.01,
siMDDC-SupT1_A11.fcs,30.3,14.1,6.34,6.34,
siMDDC-SupT1_B2.fcs,53.0,27.8,15.9,3.34,
siMDDC-SupT1_B3.fcs,40.3,19.6,9.24,4.72,
siMDDC-SupT1_B4.fcs,52.2,26.2,13.8,4.27,
siMDDC-SupT1_B5.fcs,45.2,23.4,12.4,7.64,
siMDDC-SupT1_B6.fcs,41.4,19.9,11.6,6.14,
siMDDC-SupT1_B7.fcs,31.8,15.4,13.8,5.96,
siMDDC-SupT1_B8.fcs,32.2,14.4,7.39,5.01,
siMDDC-SupT1_B9.fcs,26.9,12.4,3.49,3.20,
siMDDC-SupT1_B10.fcs,28.3,13.6,9.82,4.65,
siMDDC-SupT1_B11.fcs,22.2,10.6,4.07,4.36,
siMDDC-SupT1_C2.fcs,45.0,23.4,17.7,4.80,
siMDDC-SupT1_C3.fcs,41.8,21.9,17.4,3.38,
siMDDC-SupT1_C4.fcs,52.7,29.2,23.9,5.59,
siMDDC-SupT1_C5.fcs,49.2,26.9,28.2,6.10,
siMDDC-SupT1_C6.fcs,58.9,34.3,24.1,6.96,
siMDDC-SupT1_C7.fcs,60.1,33.2,21.6,10.3,
siMDDC-SupT1_C8.fcs,53.6,28.2,19.8,5.89,
siMDDC-SupT1_C9.fcs,50.1,25.6,17.7,5.80,
siMDDC-SupT1_C10.fcs,46.4,24.0,14.8,6.77,
siMDDC-SupT1_C11.fcs,39.4,19.6,14.1,4.97,
siMDDC-SupT1_D2.fcs,28.9,14.9,9.30,4.42,
siMDDC-SupT1_D3.fcs,31.9,15.7,11.0,4.47,
siMDDC-SupT1_D4.fcs,32.7,17.0,12.0,6.46,
siMDDC-SupT1_D5.fcs,32.8,17.4,16.4,6.79,
siMDDC-SupT1_D6.fcs,39.8,21.8,20.6,9.76,
