,SupT1/FarRed+/p24+ SupT1 | Freq. of Parent (%),SupT1/FarRed+/Dead SupT1 | Freq. of Parent (%),MDDC/FarRed-/p24+ MDDC | Freq. of Parent (%),MDDC/FarRed-/Dead MDDC | Freq. of Parent (%),
Control_CD4+R9.fcs,98.4,89.8,95.8,38.0,
Control_F522Y.fcs,0.063,1.31,0,2.13,
Control_GAPDH.fcs,29.7,4.98,3.00,0.36,
Control_M.fcs,39.4,12.1,2.99,4.59,
Control_MDDC+R9.fcs,0,0,1.41,2.01,
Control_NI.fcs,0.021,1.44,0,1.22,
Control_NT.fcs,38.7,12.5,3.86,3.71,
Control_NT2.fcs,38.1,12.7,5.01,5.09,
Control_NT3.fcs,31.8,9.62,2.26,3.87,
Control_UT.fcs,7.67,2.06,1.58,0.96,
siMDDC-SupT1_A2.fcs,16.8,5.62,1.51,1.98,
siMDDC-SupT1_A3.fcs,22.5,8.92,2.19,2.70,
siMDDC-SupT1_A4.fcs,26.4,10.9,1.81,3.26,
siMDDC-SupT1_A5.fcs,31.0,11.5,3.86,2.67,
siMDDC-SupT1_A6.fcs,32.5,13.0,3.37,3.06,
siMDDC-SupT1_A7.fcs,28.7,11.0,2.56,2.72,
siMDDC-SupT1_A8.fcs,29.1,10.3,2.06,2.06,
siMDDC-SupT1_A9.fcs,27.3,7.20,3.29,1.55,
siMDDC-SupT1_A10.fcs,19.2,5.43,3.16,1.43,
siMDDC-SupT1_A11.fcs,18.7,5.84,2.19,1.29,
siMDDC-SupT1_B2.fcs,20.9,7.11,3.70,2.84,
siMDDC-SupT1_B3.fcs,29.0,10.0,2.47,3.41,
siMDDC-SupT1_B4.fcs,27.0,9.93,1.84,2.60,
siMDDC-SupT1_B5.fcs,33.2,12.5,2.18,3.59,
siMDDC-SupT1_B6.fcs,38.9,13.9,2.24,2.53,
siMDDC-SupT1_B7.fcs,30.6,12.0,2.76,3.75,
siMDDC-SupT1_B8.fcs,32.9,11.6,1.95,3.47,
siMDDC-SupT1_B9.fcs,19.6,7.72,1.60,2.53,
siMDDC-SupT1_B10.fcs,34.1,13.4,2.26,2.84,
siMDDC-SupT1_B11.fcs,32.2,8.39,8.08,2.79,
siMDDC-SupT1_C2.fcs,28.5,8.63,2.76,1.57,
siMDDC-SupT1_C3.fcs,28.5,10.2,3.62,2.13,
siMDDC-SupT1_C4.fcs,31.5,15.5,4.86,3.58,
siMDDC-SupT1_C5.fcs,34.6,14.1,3.88,3.82,
siMDDC-SupT1_C6.fcs,43.9,17.6,3.17,3.62,
siMDDC-SupT1_C7.fcs,36.5,15.0,2.66,4.34,
siMDDC-SupT1_C8.fcs,30.7,12.5,2.37,4.16,
siMDDC-SupT1_C9.fcs,23.0,8.98,2.02,2.35,
siMDDC-SupT1_C10.fcs,30.3,11.4,6.57,3.82,
siMDDC-SupT1_C11.fcs,23.1,8.38,6.07,2.41,
siMDDC-SupT1_D2.fcs,20.6,6.31,1.91,1.32,
siMDDC-SupT1_D3.fcs,22.7,8.53,2.04,2.04,
siMDDC-SupT1_D4.fcs,30.1,11.2,2.29,2.84,
siMDDC-SupT1_D5.fcs,32.0,11.6,3.13,2.20,
siMDDC-SupT1_D6.fcs,28.9,11.8,1.98,2.93,
siMDDC-SupT1_D7.fcs,31.2,11.5,2.70,3.50,
siMDDC-SupT1_D8.fcs,25.5,11.0,1.26,2.85,
siMDDC-SupT1_D9.fcs,26.6,8.70,4.41,3.68,
siMDDC-SupT1_D10.fcs,19.9,6.16,3.01,2.61,
siMDDC-SupT1_D11.fcs,19.7,5.42,2.94,1.45,
siMDDC-SupT1_E2.fcs,26.9,10.0,2.57,2.57,
siMDDC-SupT1_E3.fcs,36.0,13.8,3.32,2.43,
siMDDC-SupT1_E4.fcs,26.2,10.6,2.83,2.83,
siMDDC-SupT1_E5.fcs,39.4,15.0,4.46,3.54,
siMDDC-SupT1_E6.fcs,34.3,12.3,4.98,3.82,
siMDDC-SupT1_E7.fcs,29.5,12.2,7.32,4.61,
siMDDC-SupT1_E8.fcs,19.0,7.79,7.40,3.49,
siMDDC-SupT1_E9.fcs,32.7,12.2,3.65,3.37,
siMDDC-SupT1_E10.fcs,19.4,8.64,2.07,2.85,
siMDDC-SupT1_E11.fcs,20.1,7.08,2.13,2.71,
siMDDC-SupT1_F2.fcs,11.7,4.23,1.46,1.19,
siMDDC-SupT1_F3.fcs,16.6,7.16,2.35,2.67,
siMDDC-SupT1_F4.fcs,17.9,7.32,2.10,2.20,
siMDDC-SupT1_F5.fcs,25.3,9.20,2.35,3.13,
siMDDC-SupT1_F6.fcs,34.8,14.8,4.59,4.85,
siMDDC-SupT1_F7.fcs,28.7,12.3,2.71,4.60,
siMDDC-SupT1_F8.fcs,29.1,11.6,3.23,3.41,
siMDDC-SupT1_F9.fcs,25.0,10.4,3.30,3.12,
siMDDC-SupT1_F10.fcs,18.6,8.42,1.58,2.28,
siMDDC-SupT1_F11.fcs,17.9,6.04,3.25,1.65,
siMDDC-SupT1_G2.fcs,16.8,4.98,3.51,2.42,
siMDDC-SupT1_G3.fcs,16.9,7.16,2.36,2.56,
siMDDC-SupT1_G4.fcs,25.6,11.0,3.61,3.56,
siMDDC-SupT1_G5.fcs,21.6,10.3,2.29,3.72,
siMDDC-SupT1_G6.fcs,19.2,10.6,1.98,3.84,
siMDDC-SupT1_G7.fcs,32.8,14.5,3.89,4.39,
siMDDC-SupT1_G8.fcs,23.2,11.0,4.69,3.97,
siMDDC-SupT1_G9.fcs,26.0,10.9,4.17,3.73,
siMDDC-SupT1_G10.fcs,20.1,8.66,3.06,2.47,
siMDDC-SupT1_G11.fcs,19.1,7.73,3.96,3.29,
siMDDC-SupT1_H2.fcs,17.7,4.46,1.68,0.99,
siMDDC-SupT1_H3.fcs,28.1,8.77,3.18,2.05,
siMDDC-SupT1_H4.fcs,24.2,9.39,2.75,1.75,
siMDDC-SupT1_H5.fcs,39.0,14.6,2.96,3.18,
siMDDC-SupT1_H6.fcs,36.8,16.7,2.81,3.96,
siMDDC-SupT1_H7.fcs,38.1,16.9,3.50,3.81,
siMDDC-SupT1_H8.fcs,38.6,17.6,5.82,4.69,
siMDDC-SupT1_H9.fcs,33.1,13.3,4.30,4.30,
siMDDC-SupT1_H10.fcs,39.5,14.3,6.43,2.85,
siMDDC-SupT1_H11.fcs,26.3,11.5,2.11,2.22,
Mean,27.3,10.9,4.13,3.30,
SD,11.6,9.15,9.88,3.83,
