,SupT1/FarRed+/p24+ SupT1 | Freq. of Parent (%),SupT1/FarRed+/Dead SupT1 | Freq. of Parent (%),MDDC/FarRed-/p24+ MDDC | Freq. of Parent (%),MDDC/FarRed-/Dead MDDC | Freq. of Parent (%),
siMDDC-SupT1_E6.fcs,9.47,3.56,1.78,8.03,
siMDDC-SupT1_E7.fcs,14.9,4.79,4.29,8.50,
siMDDC-SupT1_E8.fcs,24.0,7.31,5.40,8.78,
siMDDC-SupT1_E9.fcs,18.0,5.29,5.81,4.56,
siMDDC-SupT1_E10.fcs,37.8,8.84,11.1,11.1,
siMDDC-SupT1_E11.fcs,26.7,6.72,4.63,7.42,
siMDDC-SupT1_F2.fcs,20.3,5.57,3.74,3.95,
siMDDC-SupT1_F3.fcs,22.2,7.11,2.94,4.35,
siMDDC-SupT1_F4.fcs,15.7,5.16,2.42,5.82,
siMDDC-SupT1_F5.fcs,36.3,11.3,1.65,4.69,
siMDDC-SupT1_F6.fcs,23.9,8.38,2.81,5.87,
siMDDC-SupT1_F7.fcs,24.7,7.75,4.20,7.14,
siMDDC-SupT1_F8.fcs,14.8,5.66,3.08,4.81,
siMDDC-SupT1_F9.fcs,19.9,6.47,3.13,5.91,
siMDDC-SupT1_F10.fcs,16.4,5.27,1.57,6.88,
siMDDC-SupT1_F11.fcs,13.9,5.38,2.16,6.37,
siMDDC-SupT1_G2.fcs,22.6,6.26,3.89,3.76,
siMDDC-SupT1_G3.fcs,20.4,5.57,2.70,4.04,
siMDDC-SupT1_G4.fcs,37.0,9.61,9.14,6.60,
siMDDC-SupT1_G5.fcs,32.7,8.42,7.38,5.18,
siMDDC-SupT1_G6.fcs,45.2,12.9,13.0,8.87,
siMDDC-SupT1_G7.fcs,41.7,13.1,7.46,6.13,
siMDDC-SupT1_G8.fcs,27.7,8.54,3.36,5.46,
siMDDC-SupT1_G9.fcs,21.8,6.99,2.80,3.09,
siMDDC-SupT1_G10.fcs,26.6,7.66,3.74,4.26,
siMDDC-SupT1_G11.fcs,25.7,6.99,9.44,7.36,
siMDDC-SupT1_H2.fcs,37.6,8.97,5.66,2.72,
siMDDC-SupT1_H3.fcs,21.8,5.20,4.71,2.91,
siMDDC-SupT1_H4.fcs,22.8,7.50,4.49,4.49,
siMDDC-SupT1_H5.fcs,20.0,6.15,6.10,6.30,
siMDDC-SupT1_H6.fcs,23.2,7.64,5.39,8.94,
siMDDC-SupT1_H7.fcs,23.2,7.69,4.81,7.22,
siMDDC-SupT1_H8.fcs,15.6,5.77,3.69,10.3,
siMDDC-SupT1_H9.fcs,10.5,4.26,1.28,4.08,
siMDDC-SupT1_H10.fcs,19.1,7.11,3.04,6.43,
Mean,20.3,6.58,4.35,7.85,
SD,9.45,2.83,2.37,4.27,
