,SupT1/FarRed+/p24+ SupT1 | Freq. of Parent (%),SupT1/FarRed+/Dead SupT1 | Freq. of Parent (%),MDDC/FarRed-/p24+ MDDC | Freq. of Parent (%),MDDC/FarRed-/Dead MDDC | Freq. of Parent (%),
Control_CD4+R9.fcs,53.1,13.0,0,0,
Control_F522Y.fcs,1.20,0.66,0.65,5.14,
Control_GAPDH.fcs,34.4,11.6,10.1,24.0,
Control_M.fcs,31.5,11.5,6.08,21.7,
Control_MDDC+R9.fcs,0,0,7.62,8.83,
Control_NI.fcs,1.90,0.87,1.32,7.28,
Control_NT.fcs,24.9,8.48,7.08,14.3,
Control_NT2.fcs,25.2,9.24,6.98,19.5,
Control_NT3.fcs,23.0,8.08,7.54,20.3,
Control_UT.fcs,7.93,2.25,3.57,9.59,
Control_Unstained 2.fcs,0,0,0,0,
Control_Unstained.fcs,0,2.34,0.14,5.84,
siMDDC-SupT1_A2.fcs,13.6,3.57,3.07,4.68,
siMDDC-SupT1_A3.fcs,11.6,3.95,2.55,5.99,
siMDDC-SupT1_A4.fcs,29.5,6.26,8.23,6.11,
siMDDC-SupT1_A5.fcs,14.6,4.88,4.85,8.95,
siMDDC-SupT1_A6.fcs,17.0,5.02,5.14,8.20,
siMDDC-SupT1_A7.fcs,15.1,4.40,5.85,7.94,
siMDDC-SupT1_A8.fcs,16.5,4.66,4.74,6.94,
siMDDC-SupT1_A9.fcs,14.5,3.92,4.96,5.21,
siMDDC-SupT1_A10.fcs,25.3,8.20,6.36,5.53,
siMDDC-SupT1_A11.fcs,23.2,6.48,7.59,7.21,
siMDDC-SupT1_B2.fcs,10.8,2.98,2.21,3.31,
siMDDC-SupT1_B3.fcs,10.8,1.89,3.20,4.09,
siMDDC-SupT1_B4.fcs,16.2,4.68,3.70,5.44,
siMDDC-SupT1_B5.fcs,11.9,4.75,3.25,3.67,
siMDDC-SupT1_B6.fcs,17.0,4.21,5.34,5.34,
siMDDC-SupT1_B7.fcs,9.68,3.47,2.26,4.59,
siMDDC-SupT1_B8.fcs,14.7,3.76,2.73,2.82,
siMDDC-SupT1_B9.fcs,14.4,3.38,5.86,4.77,
siMDDC-SupT1_B10.fcs,20.4,7.35,3.70,7.02,
siMDDC-SupT1_B11.fcs,17.5,5.49,3.87,5.81,
siMDDC-SupT1_C2.fcs,28.6,11.1,4.69,11.8,
siMDDC-SupT1_C3.fcs,21.2,8.12,4.27,9.00,
siMDDC-SupT1_C4.fcs,22.7,8.78,4.54,11.9,
siMDDC-SupT1_C5.fcs,27.1,10.9,7.64,8.75,
siMDDC-SupT1_C6.fcs,23.2,9.45,4.32,6.88,
siMDDC-SupT1_C7.fcs,31.8,12.5,4.64,13.1,
siMDDC-SupT1_C8.fcs,28.5,10.4,4.46,11.8,
siMDDC-SupT1_C9.fcs,27.0,10.9,4.54,13.3,
siMDDC-SupT1_C10.fcs,17.4,6.83,2.47,12.9,
siMDDC-SupT1_C11.fcs,16.2,5.46,2.99,9.80,
siMDDC-SupT1_D2.fcs,17.4,5.61,4.29,8.58,
siMDDC-SupT1_D3.fcs,18.6,6.28,5.88,7.23,
siMDDC-SupT1_D4.fcs,14.3,5.56,2.76,9.52,
siMDDC-SupT1_D5.fcs,15.0,6.74,2.86,12.5,
siMDDC-SupT1_D6.fcs,15.7,6.27,3.03,14.8,
siMDDC-SupT1_D7.fcs,17.9,8.10,4.03,12.7,
siMDDC-SupT1_D8.fcs,11.3,4.83,1.90,10.4,
siMDDC-SupT1_D9.fcs,15.9,6.79,2.86,13.2,
siMDDC-SupT1_D10.fcs,19.8,7.29,4.06,12.6,
siMDDC-SupT1_D11.fcs,21.9,8.54,2.72,9.12,
siMDDC-SupT1_E2.fcs,24.3,6.66,4.38,7.63,
siMDDC-SupT1_E3.fcs,16.1,6.78,3.66,9.40,
siMDDC-SupT1_E4.fcs,18.2,6.74,3.40,9.98,
siMDDC-SupT1_E5.fcs,15.1,5.65,2.06,4.72,
