,SupT1/FarRed+/p24+ SupT1 | Freq. of Parent (%),SupT1/FarRed+/Dead SupT1 | Freq. of Parent (%),MDDC/FarRed-/p24+ MDDC | Freq. of Parent (%),MDDC/FarRed-/Dead MDDC | Freq. of Parent (%),
siMDDC-SupT1_F5.fcs,31.4,14.1,6.57,61.9,
siMDDC-SupT1_F6.fcs,13.7,6.36,2.49,41.0,
siMDDC-SupT1_F7.fcs,14.3,6.55,2.39,44.3,
siMDDC-SupT1_F8.fcs,17.3,7.66,2.27,40.3,
siMDDC-SupT1_F9.fcs,15.5,6.52,3.29,35.9,
siMDDC-SupT1_F10.fcs,12.4,5.15,2.54,35.5,
siMDDC-SupT1_F11.fcs,9.02,3.87,1.76,24.5,
siMDDC-SupT1_G2.fcs,9.58,4.14,0.72,19.2,
siMDDC-SupT1_G3.fcs,13.7,7.04,0.70,35.9,
siMDDC-SupT1_G4.fcs,9.71,4.87,0.73,31.5,
siMDDC-SupT1_G5.fcs,13.7,6.67,0.80,34.0,
siMDDC-SupT1_G6.fcs,12.1,5.92,1.65,39.4,
siMDDC-SupT1_G7.fcs,13.8,6.00,2.88,43.4,
siMDDC-SupT1_G8.fcs,10.5,4.63,0.97,33.3,
siMDDC-SupT1_G9.fcs,12.2,6.30,1.28,29.5,
siMDDC-SupT1_G10.fcs,13.4,5.69,2.03,15.2,
siMDDC-SupT1_G11.fcs,13.0,5.44,1.96,15.7,
siMDDC-SupT1_H2.fcs,15.5,7.44,1.41,47.3,
siMDDC-SupT1_H3.fcs,6.30,3.30,0.51,25.9,
siMDDC-SupT1_H4.fcs,6.85,3.63,0.40,27.4,
siMDDC-SupT1_H5.fcs,5.88,3.63,0.34,31.4,
siMDDC-SupT1_H6.fcs,5.68,3.40,0.69,35.1,
siMDDC-SupT1_H7.fcs,8.75,4.36,0.49,36.2,
siMDDC-SupT1_H8.fcs,14.9,5.43,7.30,39.1,
siMDDC-SupT1_H9.fcs,9.10,3.67,0.47,36.0,
siMDDC-SupT1_H10.fcs,9.50,4.69,0.53,38.6,
siMDDC-SupT1_H11.fcs,6.95,3.37,0.48,37.1,
Mean,12.5,5.67,1.30,29.1,
SD,10.8,6.46,1.15,10.3,
