,SupT1/FarRed+/p24+ SupT1 | Freq. of Parent (%),SupT1/FarRed+/Dead SupT1 | Freq. of Parent (%),MDDC/FarRed-/p24+ MDDC | Freq. of Parent (%),MDDC/FarRed-/Dead MDDC | Freq. of Parent (%),
Control_CD4 R9.fcs,97.0,62.9,0,40.0,
Control_F522Y.fcs,0.42,0.19,0.59,9.89,
Control_GAPDH.fcs,9.79,5.36,1.42,45.5,
Control_M.fcs,6.72,3.12,0.59,31.1,
Control_NI.fcs,0.79,0.81,0.30,15.6,
Control_NT.fcs,6.83,3.35,1.07,42.1,
Control_UT.fcs,2.44,1.11,0.59,13.5,
Control_Unstained.fcs,50.0,0,0,2.86,
siMDDC-SupT1_A2.fcs,8.30,3.65,0.54,23.2,
siMDDC-SupT1_A3.fcs,15.5,7.44,1.06,41.3,
siMDDC-SupT1_A4.fcs,12.0,5.16,1.09,35.0,
siMDDC-SupT1_A5.fcs,11.6,5.41,1.27,36.0,
siMDDC-SupT1_A6.fcs,10.6,5.43,0.90,35.5,
siMDDC-SupT1_A7.fcs,9.51,4.73,1.10,35.1,
siMDDC-SupT1_A8.fcs,11.9,5.61,1.27,33.1,
siMDDC-SupT1_A9.fcs,12.2,5.83,1.47,25.8,
siMDDC-SupT1_A10.fcs,9.74,5.27,0.76,33.6,
siMDDC-SupT1_A11.fcs,8.45,4.30,1.02,26.4,
siMDDC-SupT1_B2.fcs,7.67,2.81,0.37,15.2,
siMDDC-SupT1_B3.fcs,13.8,6.82,0.83,11.9,
siMDDC-SupT1_B4.fcs,8.48,4.19,0.58,26.5,
siMDDC-SupT1_B5.fcs,11.4,5.16,0.55,22.6,
siMDDC-SupT1_B6.fcs,11.5,4.73,0.81,29.3,
siMDDC-SupT1_B7.fcs,11.1,5.45,0.88,23.3,
siMDDC-SupT1_B8.fcs,10.4,4.67,1.01,25.6,
siMDDC-SupT1_B9.fcs,11.6,5.81,0.64,25.5,
siMDDC-SupT1_B10.fcs,6.66,3.11,0.84,29.1,
siMDDC-SupT1_B11.fcs,6.97,3.37,0.62,24.6,
siMDDC-SupT1_C2.fcs,8.32,3.80,0.80,18.6,
siMDDC-SupT1_C3.fcs,7.93,3.17,0.71,18.6,
siMDDC-SupT1_C4.fcs,9.31,4.23,0.97,18.3,
siMDDC-SupT1_C5.fcs,18.8,8.55,1.49,27.5,
siMDDC-SupT1_C6.fcs,14.8,6.95,1.02,22.7,
siMDDC-SupT1_C7.fcs,12.9,5.32,1.07,27.5,
siMDDC-SupT1_C8.fcs,17.1,7.62,1.19,19.6,
siMDDC-SupT1_C9.fcs,17.7,8.32,1.05,21.6,
siMDDC-SupT1_C10.fcs,11.6,5.62,0.89,20.4,
siMDDC-SupT1_C11.fcs,9.30,4.51,0.72,13.0,
siMDDC-SupT1_D2.fcs,11.3,5.21,0.99,30.3,
siMDDC-SupT1_D3.fcs,9.78,5.18,0.83,44.6,
siMDDC-SupT1_D4.fcs,12.6,6.41,1.67,49.4,
siMDDC-SupT1_D5.fcs,13.7,6.62,2.18,44.4,
siMDDC-SupT1_D6.fcs,10.5,4.40,4.44,44.4,
siMDDC-SupT1_D7.fcs,9.60,3.95,2.98,31.4,
siMDDC-SupT1_D8.fcs,11.4,5.69,1.58,27.6,
siMDDC-SupT1_D9.fcs,8.63,3.88,1.57,17.3,
siMDDC-SupT1_D10.fcs,9.69,3.83,1.38,19.8,
siMDDC-SupT1_D11.fcs,7.98,3.18,1.07,16.6,
siMDDC-SupT1_E2.fcs,17.5,8.01,2.36,31.6,
siMDDC-SupT1_E3.fcs,8.34,3.22,0.52,15.0,
siMDDC-SupT1_E4.fcs,13.1,5.73,2.12,24.6,
siMDDC-SupT1_E5.fcs,8.84,3.80,1.44,36.2,
siMDDC-SupT1_E6.fcs,11.7,5.18,1.18,25.5,
siMDDC-SupT1_E7.fcs,12.5,5.29,0.61,30.6,
siMDDC-SupT1_E8.fcs,12.7,5.49,1.09,24.7,
siMDDC-SupT1_E9.fcs,13.4,5.87,1.19,25.1,
siMDDC-SupT1_E10.fcs,11.9,4.91,2.20,29.5,
siMDDC-SupT1_E11.fcs,12.9,5.16,1.15,25.1,
siMDDC-SupT1_F2.fcs,11.1,4.50,0.88,19.3,
siMDDC-SupT1_F3.fcs,9.22,3.81,0.73,23.5,
siMDDC-SupT1_F4.fcs,12.4,5.57,0.71,21.6,
